,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.5714285714285714,0.8640776699029126,0.872777124951038,0.38461538461538464,0.6666666666666666,0.3884197828709288,0.8827160493827161,0.7918133802816901,0.896551724137931,0.84375
MAP7D3,0.10714285714285714,0.06472491909385113,0.04896200548374462,0.0,0.0784313725490196,0.0048250904704463205,0.15432098765432098,0.144806338028169,0.07758620689655173,0.09375
RAD21,0.39285714285714285,0.4336569579288026,0.3253427340383862,0.3076923076923077,0.3137254901960784,0.12424607961399277,0.5864197530864198,0.542693661971831,0.5344827586206896,0.34375
XRRA1,0.07142857142857142,0.11326860841423948,0.029847238542890717,0.0,0.028011204481792718,0.006031363088057901,0.14814814814814814,0.055897887323943664,0.034482758620689655,0.03125
GNGT2,0.07142857142857142,0.012944983818770227,0.059616137877007445,0.0,0.06162464985994398,0.0024125452352231603,0.09876543209876543,0.09330985915492958,0.06896551724137931,0.03125
AL162258.2,0.0,0.05177993527508091,0.00736388562475519,0.0,0.0056022408963585435,0.0,0.030864197530864196,0.01716549295774648,0.02586206896551724,0.0625
CASP7,0.17857142857142858,0.36245954692556637,0.2553858206032119,0.15384615384615385,0.12605042016806722,0.047044632086851626,0.2962962962962963,0.21038732394366197,0.29310344827586204,0.15625
NUFIP1,0.07142857142857142,0.05177993527508091,0.04230317273795535,0.0,0.0392156862745098,0.0024125452352231603,0.11728395061728394,0.045774647887323945,0.0,0.03125
LINC00957,0.0,0.0,0.005483744614179397,0.0,0.0056022408963585435,0.0012062726176115801,0.018518518518518517,0.019806338028169015,0.034482758620689655,0.0
NSMAF,0.14285714285714285,0.18770226537216828,0.31179005092048573,0.07692307692307693,0.08403361344537816,0.2195416164053076,0.17901234567901234,0.15977112676056338,0.3706896551724138,0.15625
YRDC,0.03571428571428571,0.1715210355987055,0.09220524872698786,0.0,0.028011204481792718,0.013268998793727383,0.15432098765432098,0.06998239436619719,0.02586206896551724,0.15625
PRR13,0.6071428571428571,0.7378640776699029,0.8335291813552683,0.5384615384615384,0.5994397759103641,0.47165259348612787,0.6604938271604939,0.7178697183098591,0.8793103448275862,0.8125
PGAM1,0.4642857142857143,0.6796116504854369,0.5858206032119075,0.07692307692307693,0.4677871148459384,0.14234016887816647,0.7469135802469136,0.6584507042253521,0.603448275862069,0.71875
TAF5,0.07142857142857142,0.04854368932038835,0.025695260477869172,0.0,0.011204481792717087,0.006031363088057901,0.1111111111111111,0.06778169014084508,0.017241379310344827,0.0625
EXTL2,0.0,0.045307443365695796,0.00791226008617313,0.0,0.011204481792717087,0.0024125452352231603,0.043209876543209874,0.01584507042253521,0.0,0.0625
QRSL1,0.2857142857142857,0.10679611650485436,0.06055620838229534,0.0,0.036414565826330535,0.0012062726176115801,0.1111111111111111,0.08274647887323944,0.0603448275862069,0.09375
