,B,Epithelial,Macrophages,NK,Plasma,T,mDC,pDC
COX8A,0.26666666666666666,0.9230769230769231,0.8408085912823753,0.4,0.0,0.6911764705882353,0.5173913043478261,0.6666666666666666
MAP7D3,0.0,0.07692307692307693,0.08780795957043588,0.0,0.0,0.0661764705882353,0.0391304347826087,0.0
RAD21,0.06666666666666667,0.15384615384615385,0.1863550221099179,0.4,0.0,0.34191176470588236,0.09565217391304348,0.3333333333333333
XRRA1,0.06666666666666667,0.38461538461538464,0.07100442198357548,0.2,0.0,0.05514705882352941,0.030434782608695653,0.0
GNGT2,0.0,0.0,0.09778900821225521,0.0,0.0,0.051470588235294115,0.02608695652173913,0.3333333333333333
AL162258.2,0.0,0.07692307692307693,0.0030322173089071384,0.0,0.0,0.0,0.0,0.0
CASP7,0.0,0.15384615384615385,0.10461149715729627,0.2,1.0,0.0625,0.02608695652173913,0.0
NUFIP1,0.0,0.23076923076923078,0.026531901452937462,0.0,0.0,0.025735294117647058,0.0,0.0
LINC00957,0.0,0.0,0.0016424510423247,0.0,0.0,0.003676470588235294,0.004347826086956522,0.0
NSMAF,0.0,0.0,0.10915982312065697,0.0,0.0,0.07720588235294118,0.04782608695652174,0.0
YRDC,0.0,0.07692307692307693,0.033480732785849655,0.0,0.0,0.058823529411764705,0.017391304347826087,0.0
PRR13,0.4,0.7692307692307693,0.7456727732154138,0.4,0.0,0.4889705882352941,0.30869565217391304,0.6666666666666666
PGAM1,0.2,0.3076923076923077,0.3802905874921036,0.2,0.0,0.34191176470588236,0.12608695652173912,0.0
TAF5,0.0,0.0,0.006443461781427669,0.0,0.0,0.011029411764705883,0.004347826086956522,0.0
EXTL2,0.0,0.23076923076923078,0.06620341124447252,0.0,0.0,0.029411764705882353,0.013043478260869565,0.0
QRSL1,0.0,0.0,0.04649399873657612,0.0,0.0,0.03308823529411765,0.017391304347826087,0.0
FAM172A,0.06666666666666667,0.3076923076923077,0.05824384080859128,0.0,0.0,0.04044117647058824,0.034782608695652174,0.3333333333333333
DNAJC25,0.0,0.07692307692307693,0.042072015161086544,0.0,0.0,0.022058823529411766,0.004347826086956522,0.0
HCST,0.5333333333333333,0.46153846153846156,0.8433354390397979,0.6,1.0,0.625,0.4826086956521739,0.6666666666666666
CLEC4E,0.0,0.0,0.06456096020214783,0.0,0.0,0.025735294117647058,0.017391304347826087,0.0
