,B,Epithelial,Macrophages,NK,T,mDC,pDC
COX8A,0.6,0.6666666666666666,0.671660581644215,1.0,0.7547169811320755,0.4434782608695652,0.6666666666666666
MAP7D3,0.0,0.06060606060606061,0.04746317512274959,0.0,0.11320754716981132,0.034782608695652174,0.0
RAD21,0.2,0.09090909090909091,0.12451214906206723,0.0,0.37735849056603776,0.08695652173913043,0.3333333333333333
XRRA1,0.0,0.12121212121212122,0.04758907213899031,0.0,0.05660377358490566,0.043478260869565216,0.0
GNGT2,0.0,0.0,0.0683620798187083,0.0,0.11320754716981132,0.02608695652173913,0.3333333333333333
AL162258.2,0.0,0.0,0.0005035880649628604,0.0,0.0,0.0,0.0
CASP7,0.0,0.12121212121212122,0.03940576608334383,0.0,0.09433962264150944,0.008695652173913044,0.0
NUFIP1,0.0,0.030303030303030304,0.01825506735490369,0.0,0.03773584905660377,0.017391304347826087,0.0
LINC00957,0.0,0.0,0.0015107641948885811,0.0,0.0,0.0,0.0
NSMAF,0.0,0.09090909090909091,0.0674808007050233,0.0,0.018867924528301886,0.06086956521739131,0.0
YRDC,0.0,0.0,0.012715598640312225,0.0,0.018867924528301886,0.0,0.0
PRR13,0.4,0.3333333333333333,0.500188845524361,0.0,0.4716981132075472,0.3739130434782609,0.3333333333333333
PGAM1,0.0,0.18181818181818182,0.20634520961853203,0.0,0.32075471698113206,0.034782608695652174,0.6666666666666666
TAF5,0.0,0.0,0.0041546015359435985,0.0,0.018867924528301886,0.0,0.0
EXTL2,0.0,0.06060606060606061,0.04809266020395317,0.0,0.16981132075471697,0.043478260869565216,0.6666666666666666
QRSL1,0.0,0.0,0.02593478534558731,0.0,0.03773584905660377,0.008695652173913044,0.0
FAM172A,0.0,0.030303030303030304,0.04368626463552814,0.0,0.018867924528301886,0.05217391304347826,0.0
DNAJC25,0.0,0.0,0.030844768978975198,0.0,0.018867924528301886,0.008695652173913044,0.0
HCST,0.6,0.42424242424242425,0.7610474631751227,0.0,0.7169811320754716,0.4782608695652174,0.6666666666666666
CLEC4E,0.0,0.0,0.025557094296865163,0.0,0.0,0.017391304347826087,0.0
PSTK,0.0,0.0,0.00868689412060934,0.0,0.018867924528301886,0.0,0.0
PSMA4,0.2,0.3939393939393939,0.466196651139368,1.0,0.6037735849056604,0.2956521739130435,0.6666666666666666
RIC1,0.0,0.0,0.024298124134458015,0.0,0.03773584905660377,0.0,0.0
ZBTB9,0.0,0.030303030303030304,0.005287674682110034,0.0,0.0,0.0,0.0
ATP5PD,0.4,0.3939393939393939,0.5233538965126526,0.0,0.4528301886792453,0.41739130434782606,0.6666666666666666
TLE4,0.2,0.15151515151515152,0.11469218179529145,0.0,0.1320754716981132,0.08695652173913043,0.3333333333333333
TBC1D13,0.0,0.0,0.01284149565655294,0.0,0.03773584905660377,0.0,0.0
TIMM8B,0.2,0.18181818181818182,0.3268286541608964,0.0,0.32075471698113206,0.12173913043478261,0.3333333333333333
THUMPD3,0.0,0.06060606060606061,0.05199546770741533,0.0,0.03773584905660377,0.008695652173913044,0.0
DDX60L,0.0,0.09090909090909091,0.13030341180914012,0.0,0.1320754716981132,0.05217391304347826,0.3333333333333333
